day,mismatch_rows,inflow_mismatch_rows,outflow_mismatch_rows,change_mismatch_rows,total_abs_inflow_diff,total_abs_outflow_diff,total_abs_change_diff
2026-01-07,1,1,1,0,13160.01,13160.01,0
2025-01-08,1,1,1,0,89966.75,89966.75,0
2024-01-10,1,1,1,0,322.73,322.73,0
2026-01-14,1,1,1,0,2592,2592,0
2025-01-15,1,1,1,0,16042.04,16042.04,0
2024-01-17,1,1,1,0,21051.74,21051.74,0
2026-01-21,1,1,1,0,46326.96,46326.96,0
2025-01-22,1,1,1,0,34360.43,34360.43,0
2024-01-24,1,1,1,0,53282.91,53282.91,0
2026-01-28,1,1,1,0,30005.75,30005.75,0
2025-01-29,1,1,1,0,12139.2,12139.2,0
2025-07-02,1,1,1,0,13063.91,13063.91,0
2024-07-03,1,1,1,0,14718.47,14718.47,0
2025-07-09,1,1,1,0,43816.14,43816.14,0
2024-07-10,1,1,1,0,472307.32,472307.32,0
2025-07-16,1,1,1,0,276612.17,276612.17,0
2024-07-17,1,1,1,0,27096,27096,0
2025-07-23,1,1,1,0,35637.23,35637.23,0
2024-07-24,1,1,1,0,33124.6,33124.6,0
2025-07-30,1,1,1,0,106745.07,106745.07,0
2025-06-04,1,1,1,0,7143,7143,0
2024-06-05,1,1,1,0,807,807,0
2025-06-11,1,1,1,0,41622.29,41622.29,0
2024-06-12,1,1,1,0,8214.56,8214.56,0
2025-06-18,1,1,1,0,5529,5529,0
2024-06-19,1,1,1,0,6158,6158,0
2024-06-26,1,1,1,0,34768.7,34768.7,0
2026-03-04,1,1,1,0,246805.45,246805.45,0
2025-03-05,1,1,1,0,135708.97,135708.97,0
2024-03-06,1,1,1,0,233872.94,233872.94,0
2026-03-11,1,1,1,0,194821.45,194821.45,0
2025-03-12,1,1,1,0,29926,29926,0
2024-03-13,1,1,1,0,13293,13293,0
2025-03-19,1,1,1,0,110920.38,110920.38,0
2024-03-20,1,1,1,0,8760.08,8760.08,0
2025-03-26,1,1,1,0,142264.64,142264.64,0
2025-04-30,1,1,1,0,110814.03,110814.03,0
2024-05-01,1,1,1,0,53376.58,53376.58,0
2025-05-07,1,1,1,0,799720.79,799720.79,0
2025-05-14,1,1,1,0,364605.31,364605.31,0
2024-05-15,1,1,1,0,671.65,671.65,0
2025-05-21,1,1,1,0,191313.96,191313.96,0
2024-05-22,1,1,1,0,268176.2,268176.2,0
2025-05-28,1,1,1,0,122124.97,122124.97,0
2024-05-29,1,1,1,0,23894.74,23894.74,0
2025-11-05,1,1,1,0,55760.53,55760.53,0
2024-11-06,1,1,1,0,35995.53,35995.53,0
2025-11-12,1,1,1,0,9110,9110,0
2024-11-13,1,1,1,0,101778.73,101778.73,0
2025-11-19,1,1,1,0,960.72,960.72,0
2024-11-20,1,1,1,0,56466.17,56466.17,0
2025-11-26,1,1,1,0,75595.15,75595.15,0
2024-11-27,1,1,1,0,751025.93,751025.93,0
2025-10-01,1,1,1,0,17568.1,17568.1,0
2024-10-02,1,1,1,0,69085.77,69085.77,0
2025-10-08,1,1,1,0,429918.74,429918.74,0
2024-10-09,1,1,1,0,3276.44,3276.44,0
2025-10-15,1,1,1,0,137297.75,137297.75,0
2024-10-16,1,1,1,0,18625.53,18625.53,0
2025-10-22,1,1,1,0,249.25,249.25,0
2024-10-23,1,1,1,0,138908.32,138908.32,0
2025-10-29,1,1,1,0,125626.46,125626.46,0
2024-10-30,1,1,1,0,128340.48,128340.48,0
2025-09-03,1,1,1,0,17847.84,17847.84,0
2024-09-04,1,1,1,0,8172.17,8172.17,0
2025-09-10,1,1,1,0,177,177,0
